request_id=31855|request_type=Archive|submissiondate=20-10-2015 01:10:41|completiondate=20-10-2015 01:11:47|duration=66|status=Completed|objectname=A_17292664|category=A|group=CACHEA4B|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31864|request_type=Archive|submissiondate=20-10-2015 01:11:02|completiondate=20-10-2015 01:11:47|duration=45|status=Completed|objectname=A_21809518|category=A|group=CACHEA4|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31863|request_type=Archive|submissiondate=20-10-2015 01:11:01|completiondate=20-10-2015 01:11:49|duration=48|status=Completed|objectname=A_11699979|category=A|group=CACHEA1|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31877|request_type=Archive|submissiondate=20-10-2015 01:11:20|completiondate=20-10-2015 01:11:57|duration=37|status=Completed|objectname=A_21809784|category=A|group=CACHEA4|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31853|request_type=Copy|submissiondate=20-10-2015 01:10:41|completiondate=20-10-2015 01:12:02|duration=81|status=Completed|objectname=A_21540458|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B07912|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21540458</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA3</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31851|request_type=Copy|submissiondate=20-10-2015 01:10:39|completiondate=20-10-2015 01:12:07|duration=88|status=Completed|objectname=A_21540842|category=A|group=tvcdig_2015_a_dup|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B08009|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21540842</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA2</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31869|request_type=Archive|submissiondate=20-10-2015 01:11:06|completiondate=20-10-2015 01:12:16|duration=70|status=Completed|objectname=A_19889290|category=A|group=CACHEA3|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31849|request_type=Copy|submissiondate=20-10-2015 01:10:36|completiondate=20-10-2015 01:12:18|duration=102|status=Completed|objectname=A_21795205|category=A|group=tvcdig_2015_a_dup|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B07997|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21795205</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA1</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31865|request_type=Copy|submissiondate=20-10-2015 01:11:05|completiondate=20-10-2015 01:12:18|duration=73|status=Completed|objectname=A_21809291|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B07912|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21809291</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA4B</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31879|request_type=Copy|submissiondate=20-10-2015 01:11:22|completiondate=20-10-2015 01:12:19|duration=57|status=Completed|objectname=A_21809534|category=A|group=tvcdig_2015_a_dup|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B08009|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21809534</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA2</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31848|request_type=Copy|submissiondate=20-10-2015 01:10:36|completiondate=20-10-2015 01:12:23|duration=107|status=Completed|objectname=A_21795205|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B01030|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21795205</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA1</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31856|request_type=Archive|submissiondate=20-10-2015 01:10:44|completiondate=20-10-2015 01:12:24|duration=100|status=Completed|objectname=A_21809396|category=A|group=CACHEA4|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31900|request_type=Delete_Instance|submissiondate=20-10-2015 01:12:23|completiondate=20-10-2015 01:12:25|duration=2|status=Completed|objectname=A_21795205|category=A|group= |instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=80|qos= |priority=80|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31874|request_type=Copy|submissiondate=20-10-2015 01:11:11|completiondate=20-10-2015 01:12:34|duration=83|status=Completed|objectname=A_21809500|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B07912|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21809500</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA1</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31881|request_type=Copy|submissiondate=20-10-2015 01:11:24|completiondate=20-10-2015 01:12:37|duration=73|status=Completed|objectname=A_21795900|category=A|group=tvcdig_2015_a_dup|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B08009|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21795900</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA2</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31854|request_type=Copy|submissiondate=20-10-2015 01:10:41|completiondate=20-10-2015 01:12:40|duration=119|status=Completed|objectname=A_21540458|category=A|group=tvcdig_2015_a_dup|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B08008|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21540458</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA3</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31876|request_type=Archive|submissiondate=20-10-2015 01:11:19|completiondate=20-10-2015 01:12:41|duration=82|status=Completed|objectname=A_21541536|category=A|group=CACHEA4B|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31905|request_type=Delete_Instance|submissiondate=20-10-2015 01:12:40|completiondate=20-10-2015 01:12:42|duration=2|status=Completed|objectname=A_21540458|category=A|group= |instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=80|qos= |priority=80|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31858|request_type=Archive|submissiondate=20-10-2015 01:10:54|completiondate=20-10-2015 01:12:46|duration=112|status=Completed|objectname=A_21541542|category=A|group=CACHEA4B|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
